material,size,shape,Zeta,Synthesis_method,reductant,Syn_time,Syn_temperature,pH,precursor_C,extractant,coating,cell_type,cell_line,Exposure_C,Exposure_time,Via_test,viability
Ag,5.5,mixture,,chemical,Purchased,,,,,0,0,primary,HDF,3.36,24,LDH,6.8
Ag,5.5,mixture,,chemical,Purchased,,,,,0,0,primary,HDF,3.36,24,LDH,6.8
Ag,5.5,mixture,,chemical,Purchased,,,,,0,0,primary,HDF,3.36,24,LDH,6.8
Ag,41.06,mixture,,chemical,Purchased,,,,,0,0,primary,HDF,100,24,MTT,87.6
Ag,41.06,mixture,,chemical,Purchased,,,,,0,0,primary,HDF,100,24,MTT,87.6
Ag,41.06,mixture,,chemical,Purchased,,,,,0,0,primary,HDF,100,24,MTT,87.6
Ag,41.06,mixture,,chemical,Purchased,,,,,0,0,primary,HDF,100,24,MTT,87.6
Ag,41.06,mixture,,chemical,Purchased,,,,,0,0,primary,HDF,100,24,MTT,87.6
Ag,41.06,mixture,,chemical,Purchased,,,,,0,0,primary,HDF,100,24,LDH,10.6
Ag,41.06,mixture,,chemical,Purchased,,,,,0,0,primary,HDF,100,24,LDH,10.6
Ag,41.06,mixture,,chemical,Purchased,,,,,0,0,primary,HDF,100,24,LDH,10.6
Ag,41.06,mixture,,chemical,Purchased,,,,,0,0,primary,HDF,100,24,LDH,10.6
Ag,41.06,mixture,,chemical,Purchased,,,,,0,0,primary,HDF,100,24,LDH,10.6
Ag,8.48,sphere,,biological,extract,2880,30,,2,water,protein,primary,HSF,31.78,24,SRB,50
Ag,9.67,sphere,,biological,extract,2880,30,,2,water,protein,primary,HSF,25.83,24,SRB,50
Ag,21.9,sphere,-80.7,biological,extract,60,90,,1,water,phytochemicals,primary,HDF,30,48,MTT,101.3
Ag,21.9,sphere,-80.7,biological,extract,60,90,,1,water,phytochemicals,primary,HDF,60,48,MTT,98.4
Ag,21.9,sphere,-80.7,biological,extract,60,90,,1,water,phytochemicals,primary,HDF,90,48,MTT,98.2
Ag,21.9,sphere,-80.7,biological,extract,60,90,,1,water,phytochemicals,primary,HDF,120,48,MTT,99.7
Ag,21.9,sphere,-80.7,biological,extract,60,90,,1,water,phytochemicals,primary,HDF,120,48,MTT,99.7
Ag,21.9,sphere,-80.7,biological,extract,60,90,,1,water,phytochemicals,primary,HDF,120,48,MTT,99.7
Ag,21.9,sphere,-80.7,biological,extract,60,90,,1,water,phytochemicals,primary,HDF,150,48,MTT,96.8
Ag,21.9,sphere,-80.7,biological,extract,60,90,,1,water,phytochemicals,primary,HDF,180,48,MTT,98.8
Ag,21.9,sphere,-80.7,biological,extract,60,90,,1,water,phytochemicals,primary,HDF,210,48,MTT,95.6
Ag,21.9,sphere,-80.7,biological,extract,60,90,,1,water,phytochemicals,primary,HDF,240,48,MTT,89.8
Ag,30,sphere,,chemical,polyvinylpyrrolidone,,,,,0,0,primary,HFF,0.25,24,MTT,94.6
Ag,30,sphere,,chemical,polyvinylpyrrolidone,,,,,0,0,primary,HFF,2.5,24,MTT,89.5
Ag,30,sphere,,chemical,polyvinylpyrrolidone,,,,,0,0,primary,HFF,25,24,MTT,79.6
Ag,25,mixture,-20.5,biological,extract,,80,,1,water,phytochemicals,primary,HSF,54.99,72,SRB,50
Ag,20,sphere,-31.2,chemical,sodium citrate,15,100,,1,0,0,primary,HSF,100,24,MTT,48.5
Ag,20,sphere,-31.2,chemical,sodium citrate,15,100,,1,0,0,primary,HSF,200,24,MTT,41.3
Ag,20,sphere,-31.2,chemical,sodium citrate,15,100,,1,0,0,primary,HSF,400,24,MTT,41.3
Ag,20,sphere,-31.2,chemical,sodium citrate,15,100,,1,0,0,primary,HSF,600,24,MTT,30.9
Ag,20,sphere,-31.2,chemical,sodium citrate,15,100,,1,0,0,primary,HSF,1000,24,MTT,16
Ag,20,sphere,-31.2,chemical,sodium citrate,15,100,,1,0,0,Immortalized,HaCaT,100,24,MTT,52.9
Ag,20,sphere,-31.2,chemical,sodium citrate,15,100,,1,0,0,Immortalized,HaCaT,200,24,MTT,46.9
Ag,20,sphere,-31.2,chemical,sodium citrate,15,100,,1,0,0,Immortalized,HaCaT,400,24,MTT,25.6
Ag,20,sphere,-31.2,chemical,sodium citrate,15,100,,1,0,0,Immortalized,HaCaT,600,24,MTT,14.7
Ag,20,sphere,-31.2,chemical,sodium citrate,15,100,,1,0,0,Immortalized,HaCaT,1000,24,MTT,14.7
Ag,20,sphere,-32.4,chemical,polysaccharide,10,50,11,1,0,polysaccharide,primary,HSF,100,24,MTT,90.3
Ag,20,sphere,-32.4,chemical,polysaccharide,10,50,11,1,0,polysaccharide,primary,HSF,200,24,MTT,86.4
Ag,20,sphere,-32.4,chemical,polysaccharide,10,50,11,1,0,polysaccharide,primary,HSF,400,24,MTT,83.1
Ag,20,sphere,-32.4,chemical,polysaccharide,10,50,11,1,0,polysaccharide,primary,HSF,600,24,MTT,83.7
Ag,20,sphere,-32.4,chemical,polysaccharide,10,50,11,1,0,polysaccharide,primary,HSF,1000,24,MTT,78.7
Ag,20,sphere,-32.4,chemical,polysaccharide,10,50,11,1,0,polysaccharide,Immortalized,HaCaT,100,24,MTT,92.6
Ag,20,sphere,-32.4,chemical,polysaccharide,10,50,11,1,0,polysaccharide,Immortalized,HaCaT,200,24,MTT,83.3
Ag,20,sphere,-32.4,chemical,polysaccharide,10,50,11,1,0,polysaccharide,Immortalized,HaCaT,400,24,MTT,76.2
Ag,20,sphere,-32.4,chemical,polysaccharide,10,50,11,1,0,polysaccharide,Immortalized,HaCaT,600,24,MTT,72.4
Ag,20,sphere,-32.4,chemical,polysaccharide,10,50,11,1,0,polysaccharide,Immortalized,HaCaT,1000,24,MTT,71.8
Ag,8.3,sphere,,biological,extract,5760,25,,3,water,phytochemicals,primary,hSSCs,2,24,Alamar Blue,87.8
Ag,8.3,sphere,,biological,extract,5760,25,,3,water,phytochemicals,primary,hSSCs,4,24,Alamar Blue,86.5
Ag,8.3,sphere,,biological,extract,5760,25,,3,water,phytochemicals,primary,hSSCs,6,24,Alamar Blue,84.2
Ag,8.3,sphere,,biological,extract,5760,25,,3,water,phytochemicals,primary,hSSCs,8,24,Alamar Blue,82.8
Ag,8.3,sphere,,biological,extract,5760,25,,3,water,phytochemicals,primary,hSSCs,10,24,Alamar Blue,80.8
Ag,30,sphere,,chemical,Purchased,,,,,0,0,Immortalized,HaCaT,7.81,24,Alamar Blue,97.9
Ag,30,sphere,,chemical,Purchased,,,,,0,0,Immortalized,HaCaT,15.63,24,Alamar Blue,90.65
Ag,30,sphere,,chemical,Purchased,,,,,0,0,Immortalized,HaCaT,31.25,24,Alamar Blue,77.92
Ag,30,sphere,,chemical,Purchased,,,,,0,0,Immortalized,HaCaT,62.5,24,Alamar Blue,63.61
Ag,30,sphere,,chemical,Purchased,,,,,0,0,Immortalized,HaCaT,125,24,Alamar Blue,60.14
Ag,30,sphere,,chemical,Purchased,,,,,0,0,Immortalized,HaCaT,250,24,Alamar Blue,41.92
Ag,30,sphere,,chemical,Purchased,,,,,0,0,Immortalized,HaCaT,500,24,Alamar Blue,24.81
Ag,18.51,sphere,-32.2,biological,extract,720,24,,1,water,phytochemicals,Immortalized,HSF,500,24,MTT,75.45
Ag,18.51,sphere,-32.2,biological,extract,720,24,,1,water,phytochemicals,Immortalized,HSF,1000,24,MTT,57.89
Ag,18.51,sphere,-32.2,biological,extract,720,24,,1,water,phytochemicals,Immortalized,HSF,1500,24,MTT,51.54
Ag,20,sphere,-51,physics,high_voltage,,,,,0,0,primary,NHEK,2,24,XTT,76.59
Ag,20,sphere,-51,physics,high_voltage,,,,,0,0,primary,NHEK,5,24,XTT,59.68
Ag,20,sphere,-51,physics,high_voltage,,,,,0,0,primary,NHEK,10,24,XTT,0
Ag,20,sphere,-51,physics,high_voltage,,,,,0,0,primary,HDF,2,24,XTT,93.3
